Word	Definition	page_content
AA	Auto-attack:les attaques de base d'un personnage.	AA : Auto-attack:les attaques de base d'un personnage.
ACE	All Champions Eliminated:L'équipe entière éliminée au même moment.	ACE : All Champions Eliminated:L'équipe entière éliminée au même moment.
AD	Attack Damage:Dégâts physique / d'attaque (à l'inverse de dégâts magiques)	AD : Attack Damage:Dégâts physique / d'attaque (à l'inverse de dégâts magiques)
AD carry / ADC	Désigne à la fois les tireurs en général ( ex. Tristana Jinx...) et le rôle du joueur de la voie du bas (où sont généralement joués les tireurs. L'ADC est un personnage généralement très faible en début de partie et très puissantà la fin mais très fragile. Son objectif est d'infliger un maximum de dégâts physiques.	AD carry / ADC : Désigne à la fois les tireurs en général ( ex. Tristana Jinx...) et le rôle du joueur de la voie du bas (où sont généralement joués les tireurs. L'ADC est un personnage généralement très faible en début de partie et très puissantà la fin mais très fragile. Son objectif est d'infliger un maximum de dégâts physiques.
AFK	Away From Keyboard:Personne ne jouant plus, comme si elle était partie faire autre chose.	AFK : Away From Keyboard:Personne ne jouant plus, comme si elle était partie faire autre chose.
Agro	Agressif / agresser / agressé:avoir l'agro = se faire agresser (par exempel avoir l'agro de la tourelle ou d'un monstre). Jouer agro = jouer agressif.	Agro : Agressif / agresser / agressé:avoir l'agro = se faire agresser (par exempel avoir l'agro de la tourelle ou d'un monstre). Jouer agro = jouer agressif.
AOE	Area Of Effect:Zone d'effet (d'un sort par exemple). On parle par exemple de sorts en AOE pour parler de sorts de zone.	AOE : Area Of Effect:Zone d'effet (d'un sort par exemple). On parle par exemple de sorts en AOE pour parler de sorts de zone.
All-in	Jouer très agressif en ne se laissant pas de porte de sortie. Tout tenter.	All-in : Jouer très agressif en ne se laissant pas de porte de sortie. Tout tenter.
Animation Cancel	Interrompre une animation d’attaque ou de sort pour enchaîner plus rapidement (ex:Riven).	Animation Cancel : Interrompre une animation d’attaque ou de sort pour enchaîner plus rapidement (ex:Riven).
AP	Ability Power. Dégâts magiques (à l'inverse des dégâts physiques).	AP : Ability Power. Dégâts magiques (à l'inverse des dégâts physiques).
AP carry	Personnage faisant beaucoup de dégâts magiques (un mage généralement.	AP carry : Personnage faisant beaucoup de dégâts magiques (un mage généralement.
ARAM	"All Random All Mid:Mode de jeu sur la carte ""abîme hurlant"" contenant une seule voie où chacun a un personnage aléatoire."	"ARAM : All Random All Mid:Mode de jeu sur la carte ""abîme hurlant"" contenant une seule voie où chacun a un personnage aléatoire."
Armor	Armure:statistiques offrant de la résistance aux dégâts physiques.	Armor : Armure:statistiques offrant de la résistance aux dégâts physiques.
AS	Attack Speed:fréquence à laquelle un personnage lance des attaques de base. Acheter de l'AS permet d'augmenter cette fréquence.	AS : Attack Speed:fréquence à laquelle un personnage lance des attaques de base. Acheter de l'AS permet d'augmenter cette fréquence.
Assist	Assister un personnage dans une élimination. Cela vous octroi de l'or et de l'expérience.	Assist : Assister un personnage dans une élimination. Cela vous octroi de l'or et de l'expérience.
Auto Reset	Attaque de base qui peut être réinitialisée plus rapidement avec certains sorts ou objets (ex:le Z de Jax)	Auto Reset : Attaque de base qui peut être réinitialisée plus rapidement avec certains sorts ou objets (ex:le Z de Jax)
Back	Utiliser son rappel. Le rappel permet de se téléporter à la base pour récupérer son points de vie et achter des objets.	Back : Utiliser son rappel. Le rappel permet de se téléporter à la base pour récupérer son points de vie et achter des objets.
Backdoor 	Backdoor:Chercher à terminer la partie pas surprise quand les adversaires ne s'y attendent pas.	Backdoor  : Backdoor:Chercher à terminer la partie pas surprise quand les adversaires ne s'y attendent pas.
Back Timing	Moment optimal pour faire un rappel (recall), souvent après avoir push une vague.	Back Timing : Moment optimal pour faire un rappel (recall), souvent après avoir push une vague.
Bait 	Bait:Appâter. Jouer l'appât pour que les adversaires vous attaquent et ainsi leur tendre un piège.	Bait  : Bait:Appâter. Jouer l'appât pour que les adversaires vous attaquent et ainsi leur tendre un piège.
Ban	Bannir. Un bannissement se dit d'un champion (vous bannissez un champion en draft et ranked au début de la partie) et d'un compte (en se comportant mal, un joueur peut être banni du jeu).	Ban : Bannir. Un bannissement se dit d'un champion (vous bannissez un champion en draft et ranked au début de la partie) et d'un compte (en se comportant mal, un joueur peut être banni du jeu).
